config_id,replicate_id,E,C,S,delta,seasons,max_years_between_conf_finals,franchises_never_reached_cf,manipulation_gain_pct,manipulation_gain_bound,manipulation_gain_regime,per_series_cost_typical,per_series_cost_playin,rank_one_to_five_spread,expected_pick_worst,expected_pick_fifth_worst
0,1000,14,null,single-season,1000,30,27,0,28.571428571428573,1.2857142857142858,uncapped,,,2.7666666666666666,4.166666666666667,6.933333333333334
0,1001,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.666666666666666,4.666666666666667,7.333333333333333
0,1002,14,null,single-season,1000,30,26,0,28.571428571428573,1.2857142857142858,uncapped,,,2.033333333333333,4.7,6.733333333333333
0,1003,14,null,single-season,1000,30,30,2,28.571428571428573,1.2857142857142858,uncapped,,,3,4.833333333333333,7.833333333333333
0,1004,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,3.8,4.166666666666667,7.966666666666667
0,1005,14,null,single-season,1000,30,22,0,28.571428571428573,1.2857142857142858,uncapped,,,1.966666666666666,4.633333333333334,6.6
0,1006,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,1.3666666666666663,4.966666666666667,6.333333333333333
0,1007,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.966666666666667,4.366666666666666,7.333333333333333
0,1008,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,3.1999999999999993,4.633333333333334,7.833333333333333
0,1009,14,null,single-season,1000,30,27,0,28.571428571428573,1.2857142857142858,uncapped,,,3,4.866666666666666,7.866666666666666
0,1010,14,null,single-season,1000,30,26,0,28.571428571428573,1.2857142857142858,uncapped,,,2.7333333333333334,4.666666666666667,7.4
0,1011,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,3.4333333333333336,4.2,7.633333333333334
0,1012,14,null,single-season,1000,30,28,0,28.571428571428573,1.2857142857142858,uncapped,,,2.4333333333333336,4.3,6.733333333333333
0,1013,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,3.4333333333333336,4.5,7.933333333333334
0,1014,14,null,single-season,1000,30,25,0,28.571428571428573,1.2857142857142858,uncapped,,,2.666666666666667,4.733333333333333,7.4
0,1015,14,null,single-season,1000,30,27,0,28.571428571428573,1.2857142857142858,uncapped,,,2.833333333333333,4.7,7.533333333333333
0,1016,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.366666666666667,4.8,7.166666666666667
0,1017,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.5666666666666664,5,7.566666666666666
0,1018,14,null,single-season,1000,30,24,0,28.571428571428573,1.2857142857142858,uncapped,,,2.5999999999999996,4.666666666666667,7.266666666666667
0,1019,14,null,single-season,1000,30,30,2,28.571428571428573,1.2857142857142858,uncapped,,,3.2666666666666666,4.6,7.866666666666666
0,1020,14,null,single-season,1000,30,29,0,28.571428571428573,1.2857142857142858,uncapped,,,2.866666666666667,4.566666666666666,7.433333333333334
0,1021,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,3.2,4.7,7.9
0,1022,14,null,single-season,1000,30,30,3,28.571428571428573,1.2857142857142858,uncapped,,,2.9000000000000004,5,7.9
0,1023,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.7,4.8,7.5
0,1024,14,null,single-season,1000,30,18,0,28.571428571428573,1.2857142857142858,uncapped,,,1.833333333333334,4.6,6.433333333333334
0,1025,14,null,single-season,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,1.7333333333333325,4.633333333333334,6.366666666666666
0,1026,14,null,single-season,1000,30,25,0,28.571428571428573,1.2857142857142858,uncapped,,,2.466666666666666,4.633333333333334,7.1
0,1027,14,null,single-season,1000,30,28,0,28.571428571428573,1.2857142857142858,uncapped,,,3,4.566666666666666,7.566666666666666
0,1028,14,null,single-season,1000,30,20,0,28.571428571428573,1.2857142857142858,uncapped,,,2.333333333333333,4.433333333333334,6.766666666666667
